Year,Date,Month,Sum Total,Type
2012,3/1/2012,3,"$25,151,525.84 ",Existing
2012,4/1/2012,4,"$24,406,048.39 ",Existing
2012,5/1/2012,5,"$28,249,539.01 ",Existing
2012,6/1/2012,6,"$28,691,364.32 ",Existing
2012,7/1/2012,7,"$28,535,707.45 ",Existing
2012,8/1/2012,8,"$25,793,520.64 ",Existing
2012,9/1/2012,9,"$21,915,641.66 ",Existing
2012,10/1/2012,10,"$21,203,562.52 ",Existing
2012,11/1/2012,11,"$21,736,158.96 ",Existing
2012,12/1/2012,12,"$21,962,976.75 ",Existing
2013,1/1/2013,1,"$20,322,683.64 ",Existing
2013,2/1/2013,2,"$19,829,620.75 ",Existing
2013,3/1/2013,3,"$22,717,069.85 ",Existing
2013,4/1/2013,4,"$21,625,385.04 ",Existing
2013,5/1/2013,5,"$23,000,152.40 ",Existing
2013,6/1/2013,6,"$24,755,406.20 ",Existing
2013,7/1/2013,7,"$26,803,105.56 ",Existing
2013,8/1/2013,8,"$22,600,217.01 ",Existing
2013,9/1/2013,9,"$21,401,265.74 ",Existing
2013,10/1/2013,10,"$19,296,578.09 ",Existing
2013,11/1/2013,11,"$20,489,773.49 ",Existing
2013,12/1/2013,12,"$21,715,706.67 ",Existing
2014,1/1/2014,1,"$22,544,458.38 ",Existing
2014,2/1/2014,2,"$21,262,413.12 ",Existing
2014,3/1/2014,3,"$23,247,168.62 ",Existing
2014,4/1/2014,4,"$22,541,987.92 ",Existing
2014,5/1/2014,5,"$25,943,046.75 ",Existing
2014,6/1/2014,6,"$24,782,178.43 ",Existing
2014,7/1/2014,7,"$24,263,117.59 ",Existing
2014,8/1/2014,8,"$21,879,988.86 ",Existing
2014,9/1/2014,9,"$18,407,263.58 ",Existing
2014,10/1/2014,10,"$19,497,571.95 ",Existing
2014,11/1/2014,11,"$19,444,753.17 ",Existing
2014,12/1/2014,12,"$19,240,384.75 ",Existing
2015,1/1/2015,1,"$20,088,529.29 ",Existing
2015,2/1/2015,2,"$19,772,333.34 ",Existing
2015,3/1/2015,3,"$24,608,406.71 ",Existing
2015,4/1/2015,4,"$21,559,729.45 ",Existing
2015,5/1/2015,5,"$25,792,074.59 ",Existing
2015,6/1/2015,6,"$27,212,464.15 ",Existing
2015,7/1/2015,7,"$26,338,477.15 ",Existing
2015,8/1/2015,8,"$23,130,626.60 ",Existing
2015,9/1/2015,9,"$20,774,415.93 ",Existing
2015,10/1/2015,10,"$20,359,980.58 ",Existing
2015,11/1/2015,11,"$21,936,906.81 ",Existing
2015,12/1/2015,12,"$20,462,899.30 ",Existing
2016,1/1/2016,1,"$21,829,060.03 ",Forecast Existing
2016,2/1/2016,2,"$21,146,329.63 ",Forecast Existing
2016,3/1/2016,3,"$23,735,686.94 ",Forecast Existing
2016,4/1/2016,4,"$22,409,515.28 ",Forecast Existing
2016,5/1/2016,5,"$25,621,828.73 ",Forecast Existing
2016,6/1/2016,6,"$26,307,858.04 ",Forecast Existing
2016,7/1/2016,7,"$26,705,092.56 ",Forecast Existing
2016,8/1/2016,8,"$23,440,761.33 ",Forecast Existing
2016,9/1/2016,9,"$20,640,047.32 ",Forecast Existing
2016,10/1/2016,10,"$20,086,270.46 ",Forecast Existing
2016,11/1/2016,11,"$20,858,119.96 ",Forecast Existing
2016,12/1/2016,12,"$21,255,190.24 ",Forecast Existing
2016,1/1/2016,1,"$2,491,319.09 ",Forecast New
2016,2/1/2016,2,"$2,408,384.78 ",Forecast New
2016,3/1/2016,3,"$2,833,157.32 ",Forecast New
2016,4/1/2016,4,"$2,679,433.37 ",Forecast New
2016,5/1/2016,5,"$3,054,885.88 ",Forecast New
2016,6/1/2016,6,"$3,106,151.78 ",Forecast New
2016,7/1/2016,7,"$3,132,699.14 ",Forecast New
2016,8/1/2016,8,"$2,776,154.20 ",Forecast New
2016,9/1/2016,9,"$2,451,565.94 ",Forecast New
2016,10/1/2016,10,"$2,401,771.57 ",Forecast New
2016,11/1/2016,11,"$2,477,301.92 ",Forecast New
2016,12/1/2016,12,"$2,452,170.07 ",Forecast New
