Store,Age0to9,Age10to17,Age18to24,Age25to29,Age30to39,Age40to49,Age50to64,Age65Plus,EdLTHS,EdHSGrad,EdSomeCol,EdAssociate,EdBachelor,EdMaster,EdProfSchl,EdDoctorate,HHSz1Per,HHSz2Per,HHSz3Per,HHSz4Per,HHSz5PlusPer,HHIncU25K,HHInc25Kto50K,HHInc50Kto75K,HHInc75Kto100K,HHInc100Kto150K,HHInc150Kto250K,HHInc250KPlus,PopAsian,PopBlack,PopHispanic,PopMulti,PopNativeAmer,PopOther,PopPacIsl,PopWhite,HVal0to100K,HVal100Kto200K,HVal200Kto300K,HVal300Kto400K,HVal400Kto500K,HVal500Kto750K,HVal750KPlus,PopDens
S0086,0.17750137,0.13180319,0.11338648,8.25E-02,0.15049478,0.125,0.13675096,8.25E-02,0.36507559,0.27841924,0.26068325,7.02E-02,0.10129746,4.50E-02,6.07E-03,1.26E-02,0.13470508,0.20877915,0.15089163,0.17229081,0.33333333,0.22935528,0.28285322,0.16159122,0.10891632,0.13415638,5.98E-02,2.33E-02,2.73E-02,1.03E-02,0.76540919,1.09E-02,4.40E-03,1.31E-03,7.56E-04,0.17961932,0.13038278,0.13755981,8.85E-02,0.11303828,0.12141148,0.32535885,8.37E-02,2094.40702
S0087,0.13338866,0.10585811,7.89E-02,6.91E-02,0.14703946,0.1582005,0.17663051,0.13084166,9.61E-02,0.1972298,0.21565582,8.14E-02,0.25187828,9.15E-02,0.03299056,1.59E-02,0.24167685,0.30925473,0.17860415,0.1611179,0.10934637,0.13653024,0.16783751,0.15989615,0.14149359,0.20105376,0.13324679,6.00E-02,0.16146295,3.55E-02,0.24648714,4.18E-02,2.89E-03,2.40E-03,3.12E-03,0.50636751,1.78E-02,1.84E-02,9.21E-02,0.11332353,9.70E-02,0.34544969,0.31591608,6256.72792
S0088,0.14953933,0.12021616,0.10998405,7.88E-02,0.14528703,0.13540928,0.16464387,9.62E-02,0.31950296,0.22145255,0.23423552,0.06948511,0.15089624,1.69E-02,1.16E-02,2.00E-03,7.98E-02,0.14570738,0.16122531,0.18742443,0.42603789,0.15779927,0.19508263,0.17372027,0.13361548,0.21563886,8.99E-02,3.43E-02,0.42869165,1.95E-02,0.48600407,1.48E-02,1.95E-03,1.06E-03,4.83E-03,4.31E-02,4.71E-02,2.82E-02,9.49E-02,0.15565881,0.13308994,0.37570528,0.16528377,8043.56289
S0089,0.12673906,7.22E-02,8.00E-02,9.13E-02,0.18162578,0.14960275,0.17430524,0.12431045,8.82E-02,0.18373827,0.25186433,7.31E-02,0.28207842,0.12181862,2.19E-02,2.51E-02,0.28296128,0.33266481,0.17117196,0.12975235,8.35E-02,0.15207534,0.18137426,0.16288804,0.13882107,0.20125567,0.11693408,4.65E-02,0.26433751,3.07E-02,0.20716095,3.59E-02,1.28E-03,2.29E-03,5.31E-03,0.45300628,3.57E-02,6.00E-02,6.10E-02,8.03E-02,6.88E-02,0.41569065,0.27849043,7547.02571
S0090,0.12596211,8.33E-02,6.60E-02,7.15E-02,0.16569111,0.15785592,0.18753745,0.1420012,7.10E-02,0.16537336,0.22866048,9.09E-02,0.27324768,0.11887801,3.04E-02,2.12E-02,0.28571429,0.31873315,0.1794699,0.143531,7.26E-02,0.13162624,0.16498203,0.16150045,0.12612309,0.23045822,0.12533693,5.99E-02,0.20130888,1.86E-02,0.20269149,3.84E-02,1.38E-03,3.96E-03,6.59E-03,0.52709927,2.23E-02,1.96E-02,1.76E-02,7.02E-02,5.43E-02,0.29119788,0.524818,7621.04393
S0091,0.15146199,0.1501462,0.10263158,5.83E-02,0.13055556,0.17105263,0.16111111,7.47E-02,0.17202454,0.25472393,0.2191411,8.96E-02,0.17153374,2.18E-02,9.08E-03,3.93E-03,0.11522843,0.24314721,0.18527919,0.21015228,0.24517766,0.15634518,0.16294416,0.17258883,0.17005076,0.22893401,8.12E-02,2.69E-02,0.11401842,4.77E-02,0.37816109,3.95E-02,3.95E-03,4.68E-03,6.29E-03,0.40578863,0.10109091,0.21090909,0.36872727,0.16727273,4.44E-02,7.49E-02,3.27E-02,1054.5224
S0092,0.12243923,8.07E-02,5.92E-02,7.29E-02,0.17003855,0.15936534,0.20549909,0.1299264,8.08E-02,0.12041636,0.23051009,5.29E-02,0.28173455,0.19388416,4.50E-02,6.68E-02,0.30307532,0.33479424,0.18191948,0.12383004,5.63E-02,0.19120487,0.21059278,0.16810281,0.13876096,0.17805675,7.99E-02,3.31E-02,0.28114446,6.18E-02,0.1255974,4.91E-02,2.36E-03,6.60E-03,1.62E-03,0.47173899,2.70E-02,4.89E-02,0.13792577,0.13685658,0.15106155,0.35711013,0.14113334,8639.43653
S0093,0.15536923,0.15433951,7.91E-02,4.54E-02,0.13206826,0.17249191,0.15539865,0.1059135,8.26E-02,0.23095066,0.21607702,0.11927798,0.18329723,4.72E-02,1.89E-02,4.33E-03,0.13554158,0.27068999,0.17338313,0.21446825,0.20591704,7.64E-02,0.13446039,0.17308826,0.18321211,0.25742088,0.12826813,4.73E-02,0.11900209,0.11744285,0.23556235,4.77E-02,3.09E-03,3.06E-03,4.38E-03,0.46977141,1.37E-02,0.19284913,0.34645571,0.19745858,0.10813504,0.11274449,2.87E-02,3207.43809
S0094,9.59E-02,8.49E-02,7.60E-02,9.77E-02,0.14833717,0.14578531,0.20542476,0.14590879,2.74E-02,0.10960346,0.19960124,8.01E-02,0.37217545,0.15103013,3.98E-02,3.58E-02,0.38376675,0.33438403,0.13212503,0.10603275,4.37E-02,0.13912967,0.1870239,0.18930041,0.14394536,0.16819893,0.1115489,6.09E-02,0.10788228,2.14E-02,0.11298621,3.78E-02,1.28E-03,3.13E-03,1.89E-03,0.71364478,8.48E-03,1.93E-02,0.12102525,0.16207362,9.98E-02,0.18963191,0.39969166,4435.82352
S0095,9.19E-02,8.17E-02,0.1599548,7.80E-02,0.12615574,0.14228478,0.20597904,0.11413602,8.99E-02,0.17355117,0.1892725,6.54E-02,0.3087238,7.35E-02,2.19E-02,1.03E-02,0.30565851,0.32913269,0.17692118,0.12107734,6.67E-02,0.19520633,0.20830245,0.19965406,0.1242896,0.16926118,7.61E-02,2.69E-02,0.21284027,2.66E-02,0.14607088,4.05E-02,3.39E-03,1.34E-03,2.16E-03,0.56712892,0.1960163,5.34E-02,0.18379357,0.18469896,0.18967859,0.18107741,1.13E-02,2663.8341
